age,annual_income,monthly_expenses,young_dependents,home_ownership,occupants_count,house_area,sanitary_availability,water_availabity,loan_amount,Recommended Loan
48,18000,4500.0,2,1,4,450,1,0.5,5000,Kisan Power
45,18000,4500.0,0,1,3,600,1,0.5,5000,Agri Loan
33,12000,5500.0,2,1,4,300,1,0.5,5000,Agri Term Loan
22,12000,3000.0,1,1,3,300,1,0.5,5000,Agri Term Loan
32,18000,4500.0,1,1,4,350,1,0.5,5000,Agri Term Loan
38,12000,4500.0,0,1,3,600,1,0.5,5000,Agri Term Loan
40,18000,5200.0,3,1,5,300,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
47,33000,2400.0,0,1,3,300,1,0.5,5000,Agri Loan
42,36000,2700.0,1,1,3,400,1,0.5,5000,Agri Term Loan
19,15000,800.0,0,1,2,200,1,0.5,5000,Kisan Power
38,45000,3600.0,2,1,4,200,1,0.5,5000,Kisan Power
39,25000,1800.0,1,1,3,100,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
28,1600,800.0,1,1,3,400,1,0.5,5000,Agri Term Loan
41,38000,2800.0,1,1,4,200,1,0.5,5000,Kisan Power
33,20000,1200.0,1,1,3,250,1,0.5,5000,Agri Term Loan
25,30000,2000.0,1,1,3,300,1,0.5,5000,Agri Loan
48,18000,1000.0,0,1,4,100,1,0.5,5000,Agri Term Loan
41,15000,900.0,1,1,3,400,1,0.5,5000,Agri Loan
49,12000,4000.0,0,1,4,600,1,0.5,5000,Kisan Power
35,0,2500.0,1,1,3,200,1,0.5,5000,Agri Term Loan
33,0,2500.0,1,1,4,750,1,0.5,5000,Agri Term Loan
38,24000,4000.0,0,1,2,200,1,0.5,5000,Agri Term Loan
36,24000,4800.0,1,1,3,250,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
36,40000,5000.0,1,1,3,200,1,0.5,5000,Agri Loan
48,24000,3000.0,0,1,3,250,1,0.5,5000,Agri Loan
40,12000,4000.0,1,1,3,300,1,0.5,5000,Agri Term Loan
44,12000,3500.0,0,1,3,300,1,0.5,5000,Agri Term Loan
38,18000,6000.0,0,1,3,150,1,0.5,5000,Kisan Power
30,18000,4000.0,1,1,3,300,1,0.5,5000,Agri Loan
32,24000,4500.0,0,1,3,200,1,0.5,5000,Agri Loan
38,24000,4800.0,1,1,3,450,1,0.5,5000,Kisan Power
36,18000,4300.0,1,1,3,200,1,0.5,5000,Kisan Power
30,18000,4000.0,2,1,4,250,1,0.5,5000,Agri Term Loan
23,16800,4200.0,1,1,3,150,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
36,12000,4000.0,0,1,3,300,1,0.5,5000,Agri Loan
43,12000,3000.0,0,1,3,325,1,0.5,5000,Agri Loan
47,6000,3750.0,1,1,3,380,1,0.5,5000,Agri Loan
30,8400,3300.0,2,1,4,325,1,0.5,5000,Agri Term Loan
35,4800,2500.0,2,1,2,250,1,0.5,5000,Agri Loan
45,9600,3100.0,1,1,3,325,1,0.5,5000,Agri Term Loan
42,8400,2300.0,0,1,2,220,1,0.5,5000,Agri Loan
45,4800,3800.0,1,1,5,300,1,0.5,5000,Agri Term Loan
43,6000,3500.0,2,1,4,250,1,0.5,5000,Agri Term Loan
26,10800,3200.0,1,1,3,280,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
25,6600,2800.0,0,1,2,240,1,0.5,5000,Agri Term Loan
41,6000,3250.0,1,1,4,400,1,0.5,5000,Agri Term Loan
32,9600,3500.0,2,1,4,250,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
48,12000,3200.0,0,1,3,300,1,0.5,5000,Agri Loan
47,6000,3500.0,0,1,4,325,1,0.5,5000,Agri Loan
33,18000,900.0,0,1,2,200,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
32,16000,900.0,1,1,3,100,1,0.5,5000,Agri Term Loan
44,18000,1100.0,0,1,3,300,1,0.5,5000,Kisan Power
42,36000,1100.0,2,1,4,400,1,0.5,5000,Kisan Power
52,42000,3000.0,2,1,4,100,1,0.5,5000,Agri Term Loan
26,20000,1100.0,1,1,3,200,1,0.5,5000,Agri Loan
37,38000,2800.0,2,1,4,400,1,0.5,5000,Agri Term Loan
39,32000,2300.0,1,1,3,200,1,0.5,5000,Agri Term Loan
44,24000,1200.0,0,1,3,100,1,0.5,5000,Agri Loan
42,40000,3000.0,4,1,6,300,1,0.5,5000,Kisan Power
30,42000,3200.0,1,1,1,500,1,0.5,5000,Kisan Power
38,38000,1500.0,0,1,3,200,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
33,36000,1700.0,1,1,3,200,1,0.5,5000,Agri Term Loan
50,36000,2400.0,0,1,5,300,1,0.5,5000,Agri Term Loan
40,55000,4000.0,2,1,3,200,1,0.5,5000,Agri Term Loan
34,60000,3000.0,1,1,4,200,1,0.5,5000,Agri Term Loan
48,48000,6500.0,0,1,4,250,1,0.5,5000,Kisan Power
38,6000,3000.0,2,1,3,150,1,0.5,5000,Agri Term Loan
45,60000,3000.0,1,1,2,150,1,0.5,5000,Kisan Power
46,55000,4500.0,0,1,3,200,1,0.5,5000,Agri Term Loan
23,48000,4500.0,0,1,3,150,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
36,48000,3500.0,2,1,3,100,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
44,42000,3000.0,0,1,2,150,1,0.5,5000,Agri Term Loan
47,36000,4500.0,0,1,3,250,1,0.5,5000,Kisan Power
38,36000,4000.0,2,1,3,250,1,0.5,5000,Agri Term Loan
37,48000,4500.0,2,1,3,150,1,0.5,5000,Agri Loan
27,48000,3000.0,0,1,3,250,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
47,30000,4000.0,0,1,3,150,1,0.5,5000,Agri Term Loan
37,36000,3000.0,1,1,3,200,1,0.5,5000,Agri Term Loan
44,30000,1500.0,1,1,3,300,1,0.5,5000,Agri Loan
35,24000,1700.0,2,1,4,300,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
42,30000,1900.0,0,1,4,300,1,0.5,5000,Agri Term Loan
48,38000,1800.0,0,1,4,300,1,0.5,5000,Agri Term Loan
40,30000,1800.0,1,1,5,1000,1,0.5,5000,Agri Term Loan
30,36000,1800.0,2,1,1,1500,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
33,18000,1300.0,0,1,3,300,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
41,33000,1600.0,1,1,4,300,1,0.5,5000,Agri Term Loan
26,40000,3500.0,2,1,4,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
24,36000,3500.0,1,1,3,110,1,0.5,5000,Agri Term Loan
41,48000,4000.0,1,1,5,112,1,0.5,5000,Agri Loan
42,36000,3000.0,0,1,2,111,1,0.5,5000,Agri Term Loan
28,36000,3000.0,3,1,5,110,1,0.5,5000,Kisan Power
29,36000,3000.0,1,1,3,111,1,0.5,5000,Kisan Power
48,48000,3500.0,0,1,3,112,1,0.5,5000,Agri Term Loan
45,48000,4000.0,0,1,4,112,1,0.5,5000,Agri Term Loan
22,36000,3000.0,1,1,3,111,1,0.5,5000,Agri Term Loan
19,36000,3000.0,0,1,2,111,1,0.5,5000,Kisan Power
39,36000,3000.0,2,1,4,220,1,0.5,5000,Agri Term Loan
39,36000,3000.0,1,1,1,112,1,0.5,5000,Agri Term Loan
37,33600,2800.0,3,1,5,225,1,0.5,5000,Agri Loan
28,30000,3000.0,1,1,1,112,1,0.5,5000,Agri Term Loan
31,48000,3900.0,3,1,5,250,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
35,40000,3500.0,1,1,1,112,1,0.5,5000,Agri Term Loan
25,60000,4500.0,2,1,4,350,1,0.5,5000,Agri Loan
27,60000,4000.0,1,1,3,300,1,0.5,5000,Agri Term Loan
28,60000,4000.0,4,1,6,350,1,0.5,5000,Agri Term Loan
38,40000,3200.0,1,1,1,110,1,0.5,5000,Agri Term Loan
30,50000,4000.0,3,1,1,112,1,0.5,5000,Kisan Power
30,36000,3000.0,0,1,1,112,1,0.5,5000,Agri Term Loan
24,36000,3000.0,1,1,1,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
26,36000,3000.0,1,1,3,112,1,0.5,5000,Kisan Power
21,40000,3200.0,1,1,1,112,1,0.5,5000,Agri Term Loan
28,42000,3400.0,2,1,4,250,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
28,36000,3000.0,3,1,1,112,1,0.5,5000,Agri Loan
21,36000,3000.0,2,1,1,112,1,0.5,5000,Agri Term Loan
36,48000,4000.0,4,1,1,112,1,0.5,5000,Agri Term Loan
50,36000,3000.0,0,1,1,112,1,0.5,5000,Agri Term Loan
41,72000,5000.0,3,1,5,450,1,0.5,5000,Kisan Power
23,36000,3000.0,2,1,1,112,1,0.5,5000,Kisan Power
43,15000,900.0,1,1,3,100,1,0.5,5000,Agri Term Loan
36,48000,4000.0,3,1,1,112,1,0.5,5000,Agri Term Loan
31,18000,900.0,2,1,4,300,1,0.5,5000,Kisan Power
26,72000,4000.0,0,1,3,300,1,0.5,5000,Kisan Power
50,60000,4000.0,0,1,3,400,1,0.5,5000,Agri Loan
35,36000,3000.0,1,1,1,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
35,20000,900.0,1,1,3,400,1,0.5,5000,Agri Term Loan
22,36000,3000.0,1,1,1,112,1,0.5,5000,Kisan Power
22,48000,4000.0,0,1,1,112,1,0.5,5000,Kisan Power
51,48000,4000.0,0,1,2,112,1,0.5,5000,Kisan Power
29,30000,3000.0,0,1,1,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
25,36000,3000.0,0,1,1,112,1,0.5,5000,Agri Loan
32,36000,3000.0,3,1,1,112,1,0.5,5000,Kisan Power
54,36000,3000.0,3,1,1,111,1,0.5,5000,Kisan Power
24,36000,3000.0,4,1,1,112,1,0.5,5000,Agri Term Loan
30,36000,3000.0,2,1,1,111,1,0.5,5000,Kisan Power
25,30000,3000.0,2,1,1,111,1,0.5,5000,Kisan Power
46,60000,4500.0,2,1,5,400,1,0.5,5000,Agri Loan
48,72000,4500.0,2,1,5,400,1,0.5,5000,Agri Term Loan
48,72000,4500.0,2,1,4,350,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
35,36000,3000.0,2,1,1,112,1,0.5,5000,Kisan Power
30,48000,4000.0,3,1,1,112,1,0.5,5000,Kisan Power
30,36000,3000.0,2,1,1,111,1,0.5,5000,Agri Loan
24,40000,3000.0,2,1,1,111,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
49,35000,3200.0,0,1,2,112,1,0.5,5000,Agri Term Loan
34,48000,4000.0,2,1,1,112,1,0.5,5000,Agri Term Loan
